English_Word,Amharic,Egyptian Arabic,Hausa,Levantine Arabic,Modern Standard Arabic,Sudanese Arabic,Vietnamese,Indonesian,Javanese,Tagalog,Kannada,Tamil,Telugu,Bengali,Bhojpuri,English,French,Gujarati,Hindi,Persian,Italian,Marathi,Portuguese,Russian,Spanish,German,Urdu,Punjabi,Japanese,Korean,Thai,Swahili,Mandarin,Wu,Yue,Turkish,Hungarian,Basque,Finnish,Estonian,Czech,Slovak,Hmong,Polish,Lingala,Igbo,Yoruba,Malay,Sundanese,Northern Uzbek,Algerian Arabic,Moroccan Arabic,Sindhi,Saraiki,Jin,Min Nan,Hakka,Xiang,Mongolian,Burmese,Odia,Nepali,Malayalam,Ukrainian,Greek
tongue,ምላስ (məlas),لسان (lisān),هَرْشِي (harshe),لسان (lsān),لِسَان (lisān),لسان (lisān),𦧜 (lưỡi),lidah,ꦲꦶꦭꦠ꧀ (ilat),ᜇᜒᜎ (dila),ನಾಲಗೆ (nālage),நாக்கு (nākku),నాలుక (nāluka),জিভ (jibh),जीभ (jībh),tongue,langue,જીભ (jībh),जीभ (jībh),زبان (zabân),lingua,जीभ (jībh),língua,язы́к (jazýk),lengua,Zunge,زبان (zabān),جیبھ (jībh),舌 (shita),혀 (hyeo),ลิ้น (lin),اُلِيمِ (ulimi),舌頭 (shétou),舌頭 (zeq deu),脷 (lèih),ديل (dil),𐲜𐲈𐲘𐲬 (nyelv),mihi,kieli,keel,jazyk,jazyk,𖬇𖬵𖬦𖬵 (nplaig),język,lolému,ire,أَهوُنْ (ahọ́n),ليده (lidah),ᮜᮦᮒᮂ (létah),тил (til),لسان (lsān),لسان (lsān),ڄڀ (j̈ibha),ڄبھ (j̈ibh),舌頭 (xuêq tōu),舌 (chi̍h),舌哩 (set-lî),舌头 (sé-tóu),ᠬᠡᠯᠡ (kele),လျှာ (sha),ଜିଭ (jibha),जिब्रो (jibro),നാക്ക് (nākkŭ),язик (jazyk),γλώσσα (glóssa)
claw/nail,ጥፍር (ṭəfər),ضافر (ḍāfir),فَرْچِي (farce),ضفر (ḍifr),ظُفْر (ẓufr),ضفر (ḍufur),𦦧 (móng),kuku,ꦏꦸꦏꦸ (kuku),ᜃᜓᜃᜓ (kuko),ಉಗುರು (uguru),நகம் (nakam),గోరు (gōru),নখ (nokh),नोह (noh),nail,ongle,નખ (nakh),नाख़ुन (nāxun),ناخن (nâxon),unghia,नख (nakh),unha,но́готь (nógotʹ),uña,Fingernagel,ناخن (nāxun),نَون٘ہہ (nauñh),爪 (tsume),손톱 (sontop),เล็บ (lep),اُكُچَا (ukucha),指甲 (zhǐjia),指甲 (tsy khaq),指甲 (jí gāap),طيرناق (tırnak),𐲗𐲟𐲣𐲝𐲚 (köröm),azkazal,kynsi,küüs,nehet,necht,𖬔𖬝𖬵𖬖𖬰𖬤 (rau tes),pazur,linzaka,mbọ,عَیكَانَا (èékánná),كوكو (kuku),ᮊᮥᮊᮥ (kuku),тирноқ (tirnoq),ضفر (ḍfər),ضفر (ḍfəṛ),ننهن (nanhũ),نوہں (nū̃h),指甲 (zì jiăq),指甲 (chíng-kah),指甲 (chṳ́-kap),手指甲 (sǒu-zǐ-kǎ),ᠬᠤᠮᠤᠰᠤ (khumusu),လက်သည်း (let-de),ନଖ (nakha),नङ (naṅ),നഖം (nakhaṁ),ніготь (nihot’),νύχι (nýchi)
foot,እግር (əgər),رجل (rigl),قَفَا (ƙafa),إجر (ijr),قَدَم (qadam),كراع (kurāʿ),𨈓𨇒 (bàn chân),kaki,ꦱꦶꦏꦶꦭ꧀ (sikil),ᜉᜀ (paa),ಪಾದ (pāda),கால் (kāl),పాదము (pādamu),পা (pa),गोड़ (goṛ),foot,pied,પગ (pag),पैर (pair),پا (pâ),piede,पाऊल (pāūl),pé,стопа́ (stopá),pie,Fuß,پیر (pair),پَیر (pair),足 (ashi),발 (bal),เท้า (thao),مقُؤُ (mguu),腳 (jiǎo),腳 (ciaq),腳 (gēuk),آياق (ayak),𐲘𐲁𐲂 (láb),oin,jalkaterä,jalg,noha,noha,𖬪𖬒-𖬔𖬝𖬵 (ko-taw),stopa,lokolo,ụkwụ,عَِسَِـی (ẹsẹ̀),كاكي (kaki),ᮞᮥᮊᮥ (suku),оёқ (oyoq),رجل (ržəl),رجل (ržəl),پير (peru),پیر (pair),腳 (jiăoq),跤 (kha),腳 (kiok),腳 (jió),ᠬᠥᠯ (khöl),ခြေထောက် (che-dauk),ଗୋଡ଼ (goṛa),खुट्टा (khuṭṭā),കാൽ (kāl),нога (noha),πόδι (pódi)
knee,ጉልበት (gulbät),ركبة (rukba),ݢْوِيوَا (gwiwa),ركبة (rukbe),رُكْبَة (rukbah),ركبة (rukba),頭𦑃 (đầu gối),lutut,ꦝꦼꦁꦏꦸꦭ꧀ (dhengkul),ᜆᜓᜑᜓᜇ᜔ (tuhod),ಮಂಡಿ (maṇḍi),மூட்டு (mūṭṭu),మోకాలు (mōkālu),হাঁটু (hãṭu),ठेहुना (ṭhehunā),knee,genou,ઘૂંટણ (ghū̃ṭaṇ),घुटना (ghuṭnā),زانو (zânu),ginocchio,गुडघा (guḍghā),joelho,коле́но (koléno),rodilla,Knie,گھٹنا (ghuṭnā),گوڈا (goḍā),膝 (hiza),무릎 (mureup),เข่า (khao),قُوتِ (goti),膝蓋 (xīgài),腳饅頭 (ciaq moe deu),膝頭 (sāt tàuh),ديز (diz),𐲦𐲋𐲣𐲅 (térd),belaun,polvi,põlv,koleno,koleno,𖬔𖬰𖬦𖬪𖬰𖬦𖬵 (hauv caug),kolano,libɔ́ngɔ́,ikpere,عَیكُنْ (eékún),لوتوت (lutut),ᮒᮥᮅᮁ (tuur),тизза (tizza),ركبة (rəkba),ركبة (rəkba),گوڏو (god̤o),ڳوݙا (g̈od̤ā),圪膝頭 (gěq xiěq tōu),跤頭窩 (kha-thâu-o),腳頭烏 (kiok-thèu-vû),膝头骨 (xī-tóu-kū),ᠥᠪᠦᠳᠦᠭᠡ (öbüdüge),ဒူး (du),ଆଣ୍ଠୁ (āṇṭhu),घुँडा (ghũḍā),കാൽമുട്ട് (kālmuṭṭŭ),коліно (kolino),γόνατο (gónato)
hand,እጅ (əğğ),ايد (īd),هَنْنُو (hannu),إيد (īd),يَد (yad),يد (yad),𨈓𦿿 (bàn tay),tangan,ꦠꦔꦤ꧀ (tangan),ᜃ᜙ᜌ᜔ (kamay),ಕೈ (kai),கை (kai),చెయ్యి (ceyyi),হাত (hat),हाथ (hāth),hand,main,હાથ (hāth),हाथ (hāth),دست (dast),mano,हात (hāt),mão,рука́ (ruká),mano,Hand,ہاتھ (hāth),ہتھ (hattha),手 (te),손 (son),มือ (mue),مكُونُو (mkono),手 (shǒu),手 (seu),手 (sáu),ال (el),𐲗𐲋𐲮 (kéz),esku,käsi,käsi,ruka,ruka,𖬖𖬰𖬤 (tes),ręka,lobɔ́kɔ,aka,عُووُـو (ọwọ́),تاڠن (tangan),ᮜᮩᮍᮩᮔ᮪ (leungeun),қўл (qoʻl),يد (yədd),يد (yədd),هٿ (hathu),ہتھ (hath),手 (shòu),手 (chhiú),手 (sú),手 (sǒu),ᠭᠠᠷ (gar),လက် (let),ହାତ (hāta),हात (hāt),കൈ (kai),рука (ruka),χέρι (chéri)
belly,ሆድ (hod),بطن (baṭn),چِكِي (ciki),بطن (baṭen),بَطْن (baṭn),بطن (baṭn),𦡟 (bụng),perut,ꦮꦼꦠꦼꦁ (weteng),ᜆᜒᜌᜈ᜔ (tiyan),ಹೊಟ್ಟೆ (hoṭṭe),வயிறு (vayiṟu),పొట్ట (poṭṭa),পেট (peṭ),पेट (peṭ),belly,ventre,પેટ (peṭ),पेट (peṭ),شکم (šekam),pancia,पोट (poṭ),barriga,живо́т (živót),barriga,Bauch,پیٹ (peṭ),ڈھڈ (ḍhiḍ),腹 (hara),배 (bae),ท้อง (thong),تُمبُو (tumbo),肚子 (dùzi),肚皮 (du bi),肚 (tóuh),قارن (karın),𐲏𐲀𐲤 (has),sabel,vatsa,kõht,břicho,brucho,𖬖𖬰𖬚 (plab),brzuch,libumu,afọ,إِكُنْ (ikùn),ڤروت (perut),ᮘᮩᮒᮩᮀ (beuteung),қорин (qorin),كرش (kərš),كرش (kərš),پيٽ (peṭu),ݙڈھ (d̤aḍh),肚皮 (dú pī),腹肚 (pak-tō͘),肚 (tú),肚子 (tù-tsǐ),ᠭᠡᠳᠡᠰᠦ (gedesü),ဗိုက် (baik),ପେଟ (peṭa),पेट (peṭ),വയർ (vayar),живіт (žyvit),κοιλιά (koiliá)
neck,አንገት (angät),رقبة (raqaba),وُيَا (wuya),رقبة (raʾabe),رَقَبَة (raqabah),رقبة (ragaba),𦝄 (cổ),leher,ꦒꦸꦭꦸ (gulu),ᜎᜄ᜔ (leeg),ಕತ್ತು (kattu),கழுத்து (kaḻuttu),మెడ (meḍa),গলা (gola),गरदन (gardan),neck,cou,ગળું (gaḷũ),गरदन (gardan),گردن (gardan),collo,गळा (gaḷā),pescoço,ше́я (šéja),cuello,Hals,گردن (gardan),دھَوݨ (dhauṇ),首 (kubi),목 (mok),คอ (kho),شِينقُو (shingo),脖子 (bózi),頭頸 (deu cin),頸 (géng),بوين (boyun),𐲜𐲀𐲖 (nyak),lepo,kaula,kael,krk,krk,𖬖𖬲𖬚-𖬖𖬰𖬚 (caj-dab),szyja,nkingo,olu,عُورُنْ (ọrùn),ليهير (leher),ᮘᮩᮠᮩᮀ (beuheung),бўйин (boʻyin),رقبة (rəqba),عنق (ʿnəq),ڪنڌ (kandhu),ڳِچّی (g̈iccī),脖子 (běqzi),𦞡頸 (ām-kún),頸根 (kiáng-kên),颈根 (jǐng-kēn),ᠬᠦᠵᠦᠭᠦ (küjügü),လည်ပင်း (le-byin),ବେକ (beka),घाँटी (ghā̃ṭī),കഴുത്ത് (kaḻuttŭ),шия (šyja),λαιμός (laimós)
breast,ጡት (ṭut),صدر (ṣadr),نُونُو (nono),صدر (ṣeder),صَدْر (ṣadr),صدر (ṣadr),乳 (vú),dada,ꦥꦪꦸꦢꦫ (payudara),ᜇᜒᜊ᜔ᜇᜒᜊ᜔ (dibdib),ಎದೆ (ede),மார்பகம் (mārpakam),రొమ్ము (rom'mu),স্তন (ston),छाती (chhātī),breast,sein,સ્તન (stana),स्तन (stan),سینه (sineh),seno,स्तन (stan),peito,грудь (grudʹ),mama,Brust,چھاتی (chhati),چھاتی (chātī),胸 (mune),가슴 (gaseum),หน้าอก (h̄n̂āxk),زِيوَا (ziwa),胸部 (xiōngbù),胸脯 (shion phu),胸 (hūng),گوگوس (göğüs),𐲚𐲈𐲘𐲘 (mell),bular,rinta,rind,prs,prsia,𖬜𖬰𖬟𖬵 (mis),pierś,libɛ́lɛ,ara,عُومُو (ọmú),بواه دادا (buah dada),ᮞᮥᮞᮥ (susu),кўкрак (koʻkrak),صدر (ṣdər),صدر (ṣdəṛ),ٿڻ (thaṇu),بُبّا (bubbā),奶 (nài),奶 (leng),奶菇 (nâi-kû),奶子 (lǎi-tsǐ),ᠬᠥᠬᠡ (köke),ရင်သား (yin-da),ସ୍ତନ (stana),स्तन (stan),മുല (mula),груди (hrudy),στήθος (stíthos)
heart,ልብ (ləbb),قلب (qalb),زُچِيَا (zuciya),قلب (ʾalb),قَلْب (qalb),قلب (galb),心 (tim),jantung,ꦗꦤ꧀ꦠꦸꦁ (jantung),ᜉᜓᜐᜓ (puso),ಹೃದಯ (hṛdaya),இதயம் (itayam),గుండె (guṇḍe),হৃদয় (hridoẏ),हीव (hīv),heart,cœur,હૈયું (haiyũ),दिल (dil),دل (del),cuore,हृदय (hruday),coração,се́рдце (sérdce),corazón,Herz,دل (dil),ہِردا (hirdā),心 (kokoro),심장 (simjang),หัวใจ (huachai),مُويُو (moyo),心臟 (xīnzàng),心臟 (shín zaon),心 (sām),يورك (yürek),𐲥𐲒𐲬 (szív),bihotz,sydän,süda,srdce,srdce,𖬔𖬰𖬝𖬵 (plawv),serce,motéma,obi,عُوكَنْ (ọkàn),جنتوڠ (jantung),ᮏᮔ᮪ᮒᮥᮀ (jantung),юрак (yurak),قلب (qəlb),قلب (qəlb),دل (dili),دل (dil),心 (xīng),心 (sim),心 (sîm),心 (xīn),ᠵᠢᠷᠦᠬᠡ (jirüke),နှလုံး (hna-lone),ହୃଦୟ (hṛdaya),मुटु (muṭu),ഹൃദയം (hr̥dayaṁ),серце (serce),καρδιά (kardiá)
liver,ጉበት (gubät),كبد (kibd),هَنْتَا (hanta),كبدة (kibde),كَبِد (kabid),كبدة (kibdah),肝 (gan),hati,ꦲꦠꦶ (ati),ᜀᜆᜌ᜔ (atay),ಪಿತ್ತಜನಕಾಂಗ (pittajanakāṅga),ஈரல் (īral),కాలేయం (kālēyaṁ),কলিজা (kolija),करेजा (karejā),liver,foie,યકૃત (yakŕt),जिगर (jigar),جگر (jegar),fegato,यकृत (yakrut),fígado,пе́чень (péčenʹ),hígado,Leber,جگر (jigar),جگر (jigar),肝 (kimo),간 (gan),ตับ (tap),اِينِ (ini),肝 (gān),肝 (kóe),肝 (gōn),قرا جگر (karaciğer),𐲚𐲁𐲔 (máj),gibel,maksa,maks,játra,pečeň,𖬬𖬰𖬕𖬵 (siab),wątroba,libale,imeju,عَِدُـو (ẹ̀dọ̀),هاتي (hati),ᮠᮒᮦ (haté),жигар (jigar),كبدة (kəbda),كبدة (kəbda),جيرو (jero),کلیجا (kalējā),肝 (gān),肝 (koaⁿ),肝 (kôn),肝 (kān),ᠡᠯᠡᠭᠡ (elege),အသည်း (a-de),କଲିଜା (kalijā),कलेजो (kalejo),കരൾ (karaḷ),печінка (pečinka),συκώτι (sykóti)
drink (v.),መጠጣት (mäṭäṭṭat),شرب (shirib),شَا (sha),شرب (shirib),شَرِبَ (shariba),شرب (sharab),𦜓 (uống),minum,ꦲꦺꦴꦩ꧀ꦧꦺ (ombé),ᜁᜈᜓ᜙᜔ (inom),ಕುಡಿಯುವುದು (kuḍiyuvudu),குடித்தல் (kuṭittal),తాగడం (tāgaḍaṁ),পান করা (pān kôrā),पीअल (pīal),drink,boire,પીવું (pīvũ),पीना (pīnā),نوشیدن (nušidan),bere,पिणे (piṇe),beber,пить (pitʹ),beber,trinken,پینا (pīnā),پینا (pīṇā),飲む (nomu),마시다 (masida),ดื่ม (duem),كُڽوَا (kunywa),喝 (hē),喝 (haq),飲 (yám),ايچمك (içmek),𐲒𐲛𐲛𐲒 (inni),edan,juoda,jooma,pít,piť,𖬔𖬰𖬦𖬵 (haus),pić,komɛla,ịṅụ,مُ (mu),مينوم (minum),ᮍᮤᮔᮥᮙ᮪ (nginum),ичмоқ (ichmoq),شرب (šrəb),شرب (šrəb),پيئڻ (pī-aṇu),پیوݨ (pīwaṇ),喝 (hěq),啉 (lim),食 (sṳ̍t),呷 (qiá),ᠤᠤᠬᠤ (uukhu),သောက် (thauk),ପିଇବା (piibā),पिउनु (piunu),കുടിക്കുക (kuṭikkuka),пити (pyty),πίνω (píno)
eat (v.),መብላት (mäblat),كل (kal),چِي (ci),أكل (akal),أَكَلَ (akala),أكل (akal),𩛷 (ăn),makan,ꦥꦫꦔꦤ꧀ (pangan),ᜃᜁᜈ᜔ (kain),ತಿನ್ನುವುದು (tinnuvudu),சாப்பிடுதல் (cāppiṭutal),తినడం (tinaḍaṁ),খাওয়া (khaōẇa),खाइल (khāil),eat,manger,ખાવું (khāvũ),खाना (khānā),خوردن (xordan),mangiare,खाणे (khāṇe),comer,есть (jestʹ),comer,essen,کھانا (khānā),کھانا (khāṇā),食う (kuu),먹다 (meokda),กิน (kin),كُولَا (kula),吃 (chī),吃 (chiq),食 (sìhk),يمك (yemek),𐲈𐲛𐲛𐲒 (enni),jan,syödä,sööma,jíst,jesť,𖬪𖬵𖬤𖬵 (noj),jeść,kolía,iri,جَِـی (jẹ),ماكن (makan),ᮓᮠᮁ (dahar),емоқ (yemoq),كلى (kla),كلا (klā),کائڻ (khā-iṇu),کھاوݨ (khāwaṇ),吃 (qiěq),食 (chia̍h),食 (sṳ̍t),呷 (qiá),ᠢᠳᠡᠬᠦ (idekü),စား (sa),ଖାଇବା (khāibā),खानु (khānu),തിന്നുക (tinnuka),їсти (jisty),τρώω (tróo)
bite (v.),መንከስ (mänkäs),عض (ʿaḍḍ),چِيزُو (cizo),عض (ʿaḍḍ),عَضَّ (ʿaḍḍa),عض (ʿaḍḍ),𢯦 (cắn),gigit,ꦕꦺꦴꦏꦺꦴꦠ꧀ (cokot),ᜃᜄᜆ᜔ (kagat),ಕಡಿಯುವುದು (kaḍiyuvudu),கடித்தல் (kuṭittal),కొరకడం (korakaḍaṁ),কামড়ানো (kamṛanō),काटल (kāṭal),bite,mordre,બચકું ભરવું (backũ bharvũ),काटना (kāṭnā),گزیدن (gazidan),mordere,चावणे (ċāvṇe),morder,куса́ть (kusátʹ),morder,beißen,کاٹنا (kāṭnā),چُنڈنا (cūṇḍṇā),噛む (kamu),물다 (mulda),กัด (kat),كُڠَاتَا (kung'ata),咬 (yǎo),咬 (ngau),咬 (ngáauh),اصيرمق (ısırmak),𐲏𐲀𐲣𐲀𐲡𐲛𐲒 (harapni),hozkatu,purra,hammustama,kousat,hrýzť,𖬪𖬰𖬤𖬵 (tom),gryźć,koswâ,ịta,بُ (bù),ݢيݢيت (gigit),ᮍᮨᮌᮨᮜ᮪ (ngegel),тишламоқ (tishlamoq),عض (ʿaḍḍ),عض (ʿaḍḍ),چڪ پائڻ (ciku pā-iṇu),پَٹّݨ (paṭṭaṇ),咬 (yào),咬 (kā),咬 (ngáu),咬 (yǎo),ᠬᠠᠵᠠᠬᠤ (khajakhu),ကိုက် (kaik),କାମୁଡ଼ିବା (kāmuṛibā),टोक्नु (ṭoknu),കടിക്കുക (kaṭikkuka),кусати (kusaty),δαγκώνω (dagkóno)
see (v.),ማየት (mayät),شاف (shāf),ݢَنِي (gani),شاف (shāf),رَأَى (raʾā),شاف (shāf),𦼇 (thấy),lihat,ꦢꦼꦊꦁ (deleng),ᜃᜒᜆ (kita),ನೋಡುವುದು (nōḍuvudu),பார்த்தல் (pārttal),చూడటం (cūḍaṭaṁ),দেখা (dekha),देखल (dekhal),see,voir,જોવું (jovũ),देखना (dekhnā),دیدن (didan),vedere,पाहणे (pāhṇe),ver,ви́деть (vídetʹ),ver,sehen,دیکھنا (dekhnā),ویکھنا (vekhṇā),見る (miru),보다 (boda),เห็น (hen),كُؤُونَا (kuona),看 (kàn),看 (khoe),睇 (tái),گورمك (görmek),𐲘𐲁𐲦𐲛𐲒 (látni),ikusi,nähdä,nägema,vidět,vidieť,𖬪𖬰𖬤𖬵 (pom),widzieć,komɔ́na,ịhụ,رِی (rí),ليهت (lihat),ᮔᮨᮙ᮪ᮕᮧ (nempo),кўрмоқ (koʻrmoq),شاف (šāf),شاف (šāf),ڏسڻ (d̤isaṇu),ݙیکھݨ (d̤ekhaṇ),看 (kán),看 (khoàⁿ),看著 (khon-tó),看 (kǎn),ᠬᠠᠷᠠᠬᠤ (kharakhu),မြင် (myin),ଦେଖିବା (dekhibā),देख्नु (dekhnu),കാണുക (kāṇuka),бачити (bačyty),βλέπω (vlépo)
hear (v.),መስማት (mäsmat),سمع (simiʿ),جِي (ji),سمع (simiʿ),سَمِعَ (samiʿa),سِمِع (simiʿ),𦖑 (nghe),dengar,ꦏꦿꦸꦔꦸ (krungu),ᜇᜒᜈᜒᜄ᜔ (dinig),ಕೇಳುವುದು (kēḷuvudu),கேட்டல் (kēṭṭal),వినడం (vinaḍaṁ),শোনা (śōna),सुनल (sunal),hear,entendre,સાંભળવું (sā̃bhaḷvũ),सुनना (sunnā),شنیدن (šenidan),sentire,ऐकणे (aikṇe),ouvir,слы́шать (slýšatʹ),oír,hören,سننا (sunnā),سُننا (suṇnā),聞く (kiku),듣다 (deutda),ได้ยิน (daiyin),كُسِيكِيَا (kusikia),聽 (tīng),聽 (thín),聽 (tēng),دویمق (duymak),𐲏𐲀𐲘𐲘𐲀𐲛𐲒 (hallani),entzun,kuulla,kuulma,slyšet,počuť,𖬪𖬰𖬦𖬵 (hnov),słyszeć,koyóka,ịnụ,ڠُـو (gbọ́),دڠر (dengar),ᮍᮓᮦᮍᮦ (ngadéngé),эшитмоқ (eshitmoq),سمع (sməʿ),سمع (sməʿ),ٻڌڻ (b̤udhaṇu),سݨݨ (suṇaṇ),聽 (tīng),聽 (thiaⁿ),聽著 (thâng-tó),聽 (tǐng),ᠰᠣᠨᠤᠰᠬᠤ (sonuskhu),ကြား (cha),ଶୁଣିବା (śuṇibā),सुन्नु (sunnu),കേൾക്കുക (kēḷkkuka),чути (čuty),ακούω (akoúo)
know (v.),ማወቅ (mawäq),عرف (ʿirif),سَنِي (sani),عرف (ʿirif),عَرَفَ (ʿarafa),عرف (ʿirif),別 (biết),tahu,ꦲꦼꦂꦠꦶ (ngerti),ᜀᜎ᜙᜔ (alam),ತಿಳಿಯುವುದು (tiḷiyuvudu),அறிதல் (aṟital),తెలుసుకోవడం (telusukōvaḍaṁ),জানা (jana),जानल (jānal),know,savoir,જાણવું (jāṇvũ),जानना (jānnā),دانستن (dânestan),sapere,जाणणे (j̈āṇṇe),saber,знать (znatʹ),saber,wissen,جاننا (jānnā),جاننا (jāṇnā),知る (shiru),알다 (alda),รู้ (ru),كُجُا (kujua),知道 (zhīdào),曉得 (shiau teq),知道 (jī dòuh),بيلمك (bilmek),𐲦𐲨𐲅𐲛𐲒 (tudni),jakin,tietää,teadma,vědět,vedieť,𖬔𖬰𖬤 (paub),wiedzieć,koyéba,ịma,مُـو (mọ̀),تاهو (tahu),ᮑᮠᮧ (nyaho),билмоқ (bilmoq),عرف (ʿrəf),عرف (ʿrəf),ڄاڻڻ (j̈āṇaṇu),ڄاݨݨ (j̈āṇaṇ),知道 (zī dáo),知影 (chai-iáⁿ),知 (tî),晓得 (xiǎo-dé),ᠮᠡᠳᠡᠬᠦ (medekü),သိ (thi),ଜାଣିବା (jāṇibā),जान्नु (jānnu),അറിയുക (aṟiyuka),знати (znaty),ξέρω (xéro)
sleep (v.),መተኛት (mätäñat),نام (nām),بَرْچِي (barci),نام (nām),نَامَ (nāma),نام (nām),𦄫 (ngủ),tidur,ꦠꦸꦫꦸ (turu),ᜆᜓᜎᜓᜄ᜔ (tulog),ನಿದ್ರಿಸುವುದು (nidrisuvudu),தூங்குதல் (tūṅkutal),కునకడం (kunakaḍaṁ),ঘুমানো (ghumanō),सूतल (sūtal),sleep,dormir,ઊંઘવું (ū̃ghavũ),सोना (sonā),خوابیدن (xâbidan),dormire,झोपणे (j̈hopṇe),dormir,спать (spatʹ),dormir,schlafen,سونا (sonā),سونا (sauṇā),寝る (neru),자다 (jada),นอน (non),كُلَالَا (kulala),睡覺 (shuìjiào),睏 (khuen),瞓覺 (fān gāau),اويومق (uyumak),𐲀𐲘𐲨𐲅𐲛𐲒 (aludni),lo,nukkua,magama,spát,spať,𖬔𖬰𖬦𖬵𖬪𖬰𖬤𖬵 (tsaug zog),spać,kolála,ịhi ụra,سُنْ (sùn),تيدور (tidur),ᮞᮛᮦ (saré),ухламоқ (uxlamoq),رقد (rqəd),نعس (nʿəs),سمهڻ (sumhaṇu),سمھݨ (sumhaṇ),睡覺 (suí jiáo),睏 (khùn),睡目 (soi-mu̍k),困觉 (kùn-gào),ᠤᠨᠲᠠᠬᠤ (untakhu),အိပ် (eik),ଶୋଇବା (śoibā),सुत्नु (sutnu),ഉറങ്ങുക (uṟaṅṅuka),спати (spaty),κοιμάμαι (koimámai)
die (v.),መሞት (mämot),مات (māt),مُوتُوَا (mutuwa),مات (māt),مَاتَ (māta),مات (māt),𣩂 (chết),mati,ꦩꦠꦶ (mati),᜙ᜆᜌ᜔ (matay),ಸಾಯುವುದು (sāyuvudu),சாதல் (cātal),చావడం (cāvaḍaṁ),মরা (mora),मुअल (mual),die,mourir,મરવું (marvũ),मरना (marnā),مردن (mordan),morire,मरणे (marṇe),morrer,умира́ть (umirátʹ),morir,sterben,مرنا (marnā),مرنا (marnā),死ぬ (shinu),죽다 (jukda),ตาย (tai),كُوفَا (kufa),死 (sǐ),死 (shi),死 (séi),اولمك (ölmek),𐲚𐲈𐲍𐲏𐲀𐲘𐲛𐲒 (meghalni),hil,kuolla,surema,zemřít,zomrieť,𖬬𖬰𖬦 (tuag),umierać,kokúfa,ịnwụ,كُ (kú),ماتي (mati),ᮕᮆᮂ (paéh),ўлмоқ (oʻlmoq),مات (māt),مات (māt),مرڻ (maraṇu),مرݨ (maraṇ),死 (sì),死 (sí),死 (sí),死 (sǐ),ᠦᠬᠦᠬᠦ (ükükü),သေ (the),ମରିବା (maribā),मर्नु (marnu),മരിക്കുക (marikkuka),вмирати (vmyraty),πεθαίνω (pethaíno)
kill (v.),መግደል (mägdäl),قتل (qatal),كَشِيوَا (kashewa),قتل (ʾatal),قَتَلَ (qatala),كتل (katal),𢩊 (giết),bunuh,ꦥꦠꦺꦤꦶ (patèni),ᜉᜆᜌ᜔ (patay),ಕೊಲ್ಲುವುದು (kolluvudu),கொல்லுதல் (kollutal),చంపడం (campaḍaṁ),মারা (mara),मारल (māral),kill,tuer,મારવું (mārvũ),मारना (mārnā),کشتن (koštan),uccidere,मारणे (mārṇe),matar,убива́ть (ubivátʹ),matar,töten,مارنا (mārnā),مارنا (mārnā),殺す (korosu),죽이다 (jugida),ฆ่า (kha),كُؤُوأ (kuua),殺 (shā),殺 (saq),殺 (saat),اولدورمك (öldürmek),𐲚𐲈𐲍𐲟𐲘𐲛𐲒 (megölni),hil,tappaa,tapma,zabít,zabít,𖬪𖬦 (tua),zabijać,koboma,igbu,پَا (pa),بونوه (bunuh),ᮙᮆᮠᮔ᮪ (maéhan),ўлдирмоқ (oʻldirmoq),قتل (qtəl),قتل (qtəl),مارڻ (māraṇu),مارݨ (māraṇ),殺 (săq),刣 (thâi),殺 (sat),殺 (sǎ),ᠠᠯᠠᠬᠤ (alakhu),သတ် (that),ମାରିବା (māribā),मार्नु (mārnu),കൊല്ലുക (kolluka),вбивати (vbyvaty),σκοτώνω (skotóno)
swim (v.),መዋኘት (mäwañät),عام (ʿām),اِيُو (iyo),سبح (sabaḥ),سَبَحَ (sabaḥa),عام (ʿām),𣴓 (bơi),renang,ꦭꦔꦶ (langi),ᜎᜅᜓᜌ᜔ (langoy),ಈಜುವುದು (ījuvudu),நீந்துதல் (nīntutal),ఈదడం (īdaḍaṁ),সাঁতার কাটা (śātār kāṭā),पउड़ल (pauṛal),swim,nager,તરવું (tarvũ),तैरना (tairnā),شنا کردن (šenâ kardan),nuotare,पोहणे (pohṇe),nadar,пла́вать (plávatʹ),nadar,schwimmen,تیرنا (tairnā),تیرنا (tairnā),泳ぐ (oyogu),수영하다 (suyeonghada),ว่ายน้ำ (wai nam),كُؤُوقيليَا (kuogelea),游泳 (yóuyǒng),游泳 (yeu ion),游水 (yàuh seúi),يوزمك (yüzmek),𐲩𐲥𐲛𐲒 (úszni),igeri,uida,ujuma,plavat,plávať,𖬪𖬦𖬪𖬰𖬦𖬖𖬰𖬚 (ua luam dej),pływać,konyanya,igwu mmiri,لُووَِـی (lúwẹ̀ẹ́),برنڠ (berenang),ᮍᮧᮏᮚ᮪ (ngojay),сузмоқ (suzmoq),عام (ʿām),عام (ʿām),ترڻ (taraṇu),ترݨ (taraṇ),游泳 (yōu yōng),泅水 (siû-chúi),泅水 (siù-súi),泅水 (xiú-suǐ),ᠰᠡᠯᠡᠬᠦ (selekü),ရေကူး (ye-gu),ପହଁରିବା (pahãribā),पौडिनु (pauḍinu),നീന്തുക (nīntuka),плавати (plavaty),κολυμπάω (kolympáo)
